PHASE	TESS
null	OF
THE	THE
FIRST	DURBERVILLES
THE	A
UAIDEN	Pure
null	Woman
null	THOMAS
null	HARDY
null	Phase
null	the
null	First
null	The
null	Maiden
I	I
OH	On
an	an
evening	evening
in	in
the	the
latter	latter
part	part
of	of
May	May
a	a
middleagedmanwaswalhnghomewardfromShastontothe	middleaged
null	man
null	was
null	walking
null	homeward
null	from
null	Shaston
null	to
null	the
village	village
of	of
Marlott	Marlott
in	in
the	the
adjoining	adjoining
Vale	Vale
of	of
Blakemore	Blakemore
or	or
Blachnoor	Blackmoor
The	The
pair	pair
of	of
legs	legs
that	that
carried	carried
him	him
were	were
rickety	rickety
and	and
there	there
was	was
a	a
bias	bias
in	in
his	his
gait	gait
which	which
inclined	inclined
him	him
somewhat	somewhat
to	to
the	the
left	left
of	of
a	a
straight	straight
line	line
He	He
occasionally	occasionally
gave	gave
a	a
smart	smart
nod	nod
as	as
if	if
in	in
conﬁrmation	confirmation
of	of
some	some
opinion	opinion
though	though
he	he
was	was
not	not
thinking	thinking
of	of
anything	anything
in	in
particular	particular
An	An
empty	empty
eggbasket	eggbasket
was	was
slung	slung
upon	upon
his	his
arm	arm
the	the
nap	nap
of	of
his	his
hat	hat
was	was
rufﬂed	ruffled
a	a
patch	patch
being	being
quite	quite
worn	worn
away	away
at	at
its	its
brim	brim
where	where
his	his
thumb	thumb
came	came
in	in
taking	taking
it	it
OK	off
Presently	Presently
he	he
was	was
met	met
by	by
an	an
elderly	elderly
null	parson
astride	astride
on	on
a	a
gray	gray
mare	mare
who	who
as	as
he	he
rode	rode
bummed	hummed
a	a
wandering	wandering
time	tune
‘Good	Good
night	night
t’ee’	tee
said	said
the	the
man	man
with	with
the	the
basket	basket
‘Good	Good
night	night
Sir	Sir
John’	John
said	said
the	the
parson	parson
The	The
pedestrian	pedestrian
after	after
another	another
pace	pace
or	or
two	two
halted	halted
and	and
turned	turned
round	round
Now	Now
sir	sir
begging	begging
your	your
pardon	pardon
we	we
met	met
last	last
marketday	marketday
on	on
this	this
road	road
about	about
this	this
time	time
and	and
I	I
zaid	said
“Good	Good
night	night
and	and
you	you
made	made
reply	reply
“Good	Good
night	night
Sir	Sir
John	John
as	as
now’	now
‘I	I
did’	did
said	said
the	the
person	parson
‘And	And
once	once
before	before
that—near	thatnear
a	a
month	month
ago’	ago
I	I
may	may
have’	have
‘Then	Then
what	what
might	might
your	your
meaning	meaning
be	be
in	in
calling	calling
me	me
3	Sir
TESS	null
OF	null
THE	null
DURBERVILLES	null
“Sir	null
John	John
these	these
different	different
times	times
when	when
I	I
be	be
plain	plain
Jack	Jack
Durbeyﬁeld	Durbeyfield
the	the
haggler’	haggler
The	The
parson	parson
rode	rode
a	a
step	step
or	or
two	two
nearer	nearer
‘It	It
was	was
only	only
my	my
whim’	whim
he	he
said	said
and	and
after	after
a	a
moment’s	moments
hesitation	hesitation
‘It	It
was	was
on	on
account	account
of	of
a	a
discovery	discovery
I	I
made	made
some	some
little	little
time	time
ago	ago
whilst	whilst
I	I
was	was
hunting	hunting
up	up
pedigrees	pedigrees
for	for
the	the
new	new
county	county
history	history
I	I
am	am
Parson	Parson
Tringham	Tringham
the	the
antiquary	antiquary
of	of
Stagfoot	Stagfoot
Lane	Lane
Dont	Dont
you	you
really	really
know	know
Durbeyﬁeld	Durbeyfield
that	that
you	you
are	are
the	the
lineal	lineal
representative	representative
of	of
the	the
ancient	ancient
and	and
knightly	knightly
family	family
of	of
the	the
dUrbervilles	dUrbervilles
who	who
derive	derive
their	their
descent	descent
from	from
Sir	Sir
Pagan	Pagan
dUrberville	dUrberville
that	that
renowned	renowned
knight	knight
who	who
came	came
from	from
Normandy	Normandy
with	with
William	William
the	the
Conqueror	Conqueror
as	as
appears	appears
by	by
Battle	Battle
Abbey	Abbey
Roll’	Roll
‘Never	Never
heard	heard
it	it
before	before
sir’	sir
‘Well	Well
it’s	its
true	true
Throw	Throw
up	up
your	your
chin	chin
a	a
moment	moment
so	so
that	that
I	I
may	may
catch	catch
the	the
proﬁle	profile
of	of
your	your
face	face
better	better
Yes	Yes
thats	thats
the	the
dUrberville	dUrberville
nose	nose
and	and
china	china
little	little
debased	debased
Your	Your
ancestor	ancestor
was	was
one	one
of	of
the	the
twelve	twelve
knights	knights
who	who
assisted	assisted
the	the
Lord	Lord
of	of
